Wall time,Step,Value
1719192057.3113353,4000,3.717383861541748
1719192086.285257,8000,5.414274215698242
1719192113.1173806,12000,4.2491774559021
1719192136.0570822,16000,4.10012674331665
1719192162.3118963,20000,3.474139451980591
1719192192.089128,24000,3.453721523284912
1719192221.4073825,28000,4.430241107940674
1719192249.7823374,32000,5.174984455108643
1719192275.0237231,36000,6.7717204093933105
1719192298.1123838,40000,4.6584086418151855
1719192326.2744417,44000,5.988322734832764
1719192359.7656026,48000,4.849771499633789
1719192389.3212428,52000,4.435145378112793
1719192418.1201491,56000,6.695370674133301
1719192445.0564306,60000,11.701974868774414
1719192472.6198225,64000,12.207819938659668
1719192495.6727319,68000,10.04675579071045
1719192518.8496678,72000,15.654833793640137
1719192542.4531338,76000,22.55835723876953
1719192570.5997248,80000,21.052824020385742
1719192598.075563,84000,17.60109519958496
1719192626.6312532,88000,23.989524841308594
1719192653.8747783,92000,24.386754989624023
1719192677.6467304,96000,22.70623779296875
1719192701.9592152,100000,24.908714294433594
1719192727.2800176,104000,28.450368881225586
1719192754.7089808,108000,25.017040252685547
1719192782.7904546,112000,23.421337127685547
1719192810.8796883,116000,16.408533096313477
1719192838.4192452,120000,21.88382911682129
1719192862.3020601,124000,31.053817749023438
1719192884.4197843,128000,20.000001907348633
1719192909.6936657,132000,22.045352935791016
1719192938.6137853,136000,28.630868911743164
1719192967.2900257,140000,24.195112228393555
1719192994.9353023,144000,19.662532806396484
1719193026.1835606,148000,17.11392593383789
1719193049.2715294,152000,23.13420295715332
1719193071.5618448,156000,24.294795989990234
1719193096.362727,160000,20.683698654174805
1719193125.5897446,164000,20.682668685913086
1719193153.573362,168000,20.33261489868164
1719193183.2521436,172000,28.015222549438477
1719193211.5486095,176000,25.348684310913086
1719193235.8320239,180000,28.07389259338379
1719193258.4481688,184000,21.260305404663086
1719193286.3846338,188000,23.004173278808594
1719193313.9670444,192000,19.22099494934082
1719193341.5172446,196000,25.671852111816406
1719193369.8361008,200000,25.317028045654297
1719193395.357864,204000,23.036365509033203
1719193418.9546716,208000,18.30469512939453
1719193441.7506647,212000,15.462267875671387
1719193468.3584948,216000,26.80951499938965
1719193496.9280193,220000,17.48381996154785
1719193525.5300045,224000,19.529996871948242
1719193553.0018015,228000,22.19455337524414
1719193580.0917559,232000,17.77526092529297
