Wall time,Step,Value
1719192057.3115218,4000,-0.03584896773099899
1719192086.2854357,8000,-0.05543825030326843
1719192113.11759,12000,-0.06909942626953125
1719192136.0572786,16000,-0.06788994371891022
1719192162.3121626,20000,-0.05431113392114639
1719192192.0895438,24000,-0.06105068698525429
1719192221.407776,28000,-0.045311663299798965
1719192249.7825167,32000,-0.07412198185920715
1719192275.023898,36000,-0.05510006844997406
1719192298.1125698,40000,-0.05928327143192291
1719192326.2746677,44000,-0.05358371511101723
1719192359.7658377,48000,-0.05735607072710991
1719192389.3214722,52000,-0.04806261509656906
1719192418.1203747,56000,-0.061619505286216736
1719192445.056658,60000,-0.06648652255535126
1719192472.6200259,64000,-0.06030077859759331
1719192495.6729147,68000,-0.053741566836833954
1719192518.8499858,72000,-0.05799272656440735
1719192542.4533718,76000,-0.06278248131275177
1719192570.599942,80000,-0.056354958564043045
1719192598.0765345,84000,-0.06014363840222359
1719192626.6314793,88000,-0.05364802107214928
1719192653.8749597,92000,-0.07186555862426758
1719192677.6469138,96000,-0.05601544678211212
1719192701.9593968,100000,-0.06178858503699303
1719192727.28024,104000,-0.061916425824165344
1719192754.7092206,108000,-0.05210130289196968
1719192782.7912445,112000,-0.06661462783813477
1719192810.8811927,116000,-0.06278830021619797
1719192838.4194643,120000,-0.05301620438694954
1719192862.3022454,124000,-0.0622401125729084
1719192884.4199665,128000,-0.05087276175618172
1719192909.693887,132000,-0.0595429390668869
1719192938.614042,136000,-0.04828447103500366
1719192967.2911384,140000,-0.06929895281791687
1719192994.935535,144000,-0.06309202313423157
1719193026.1837807,148000,-0.05004609748721123
1719193049.2717152,152000,-0.050966691225767136
1719193071.5620215,156000,-0.056504879146814346
1719193096.3646038,160000,-0.06091117858886719
1719193125.5911543,164000,-0.059438079595565796
1719193153.5737095,168000,-0.04711315408349037
1719193183.252367,172000,-0.05864749476313591
1719193211.5487914,176000,-0.055161647498607635
1719193235.8322093,180000,-0.045743267983198166
1719193258.4489908,184000,-0.05005288124084473
1719193286.386928,188000,-0.05981392040848732
1719193313.9689994,192000,-0.06568454205989838
1719193341.5176418,196000,-0.04644026607275009
1719193369.8363233,200000,-0.048300206661224365
1719193395.3580444,204000,-0.06358819454908371
1719193418.9549522,208000,-0.05890476331114769
1719193441.7523592,212000,-0.05134930834174156
1719193468.3587337,216000,-0.05607961490750313
1719193496.928235,220000,-0.06178952753543854
1719193525.5302198,224000,-0.049768298864364624
1719193553.0021899,228000,-0.05576515570282936
1719193580.0920029,232000,-0.052182991057634354
1719193604.6301804,236000,-0.045330218970775604
1719193628.8089492,240000,-0.04932756721973419
1719193654.6157658,244000,-0.055104173719882965
1719193682.9576178,248000,-0.05547834560275078
1719193712.764174,252000,-0.0465499572455883
1719193739.9710858,256000,-0.049357082694768906
1719193766.992412,260000,-0.05455987900495529
1719193792.0343404,264000,-0.05326523631811142
1719193816.3559973,268000,-0.048265788704156876
1719193840.9992292,272000,-0.0628676638007164
1719193868.7885396,276000,-0.05116787925362587
1719193897.9139717,280000,-0.051086995750665665
1719193925.032514,284000,-0.04635259509086609
1719193954.1478357,288000,-0.05659760162234306
1719193984.0443358,292000,-0.044603023678064346
1719194008.0064263,296000,-0.05773874744772911
1719194032.746935,300000,-0.04101438820362091
1719194058.3954875,304000,-0.047650013118982315
1719194085.0932834,308000,-0.051657095551490784
1719194112.1241906,312000,-0.05766407027840614
1719194138.668337,316000,-0.052979595959186554
1719194166.4709508,320000,-0.05992961302399635
1719194191.8558757,324000,-0.060413751751184464
1719194214.2099454,328000,-0.05912370979785919
1719194237.7400024,332000,-0.040692344307899475
1719194267.8536649,336000,-0.05894606560468674
1719194294.5351517,340000,-0.059125084429979324
1719194321.6294608,344000,-0.04737100750207901
1719194348.961933,348000,-0.05295425280928612
1719194377.0366244,352000,-0.05521191284060478
1719194399.874304,356000,-0.06249704211950302
1719194422.2868416,360000,-0.05770512670278549
1719194449.1981657,364000,-0.06122986972332001
1719194477.2721653,368000,-0.046999890357255936
1719194504.7384338,372000,-0.04956285282969475
