Wall time,Step,Value
1719192045.7106857,4000,-0.03794281929731369
1719192071.8610263,8000,-0.046998340636491776
1719192099.6315835,12000,-0.06198779493570328
1719192125.1876845,16000,-0.0607750378549099
1719192148.8741584,20000,-0.0458957776427269
1719192180.0051608,24000,-0.06901603192090988
1719192208.7616415,28000,-0.052461374551057816
1719192238.7399123,32000,-0.05157066136598587
1719192264.6138465,36000,-0.057134587317705154
1719192288.438014,40000,-0.05832117423415184
1719192312.7001302,44000,-0.06633163243532181
1719192345.7304118,48000,-0.05076633393764496
1719192378.9576876,52000,-0.05519329756498337
1719192407.3361874,56000,-0.05686304345726967
1719192435.342324,60000,-0.0513034425675869
1719192461.9445395,64000,-0.06721998751163483
1719192488.5902538,68000,-0.057253528386354446
1719192511.412951,72000,-0.058946505188941956
1719192534.607962,76000,-0.04464983940124512
1719192560.9959986,80000,-0.041507016867399216
1719192587.8794794,84000,-0.05856354162096977
1719192616.4188082,88000,-0.06354385614395142
1719192643.7885156,92000,-0.05281728506088257
1719192668.2529545,96000,-0.05507294461131096
1719192691.3797414,100000,-0.04322386905550957
1719192714.7498705,104000,-0.06394393742084503
1719192742.9916985,108000,-0.04580860584974289
1719192770.0803783,112000,-0.052849043160676956
1719192797.013075,116000,-0.05703318491578102
1719192825.3717535,120000,-0.056365299969911575
1719192850.2636867,124000,-0.05201214179396629
1719192873.8209572,128000,-0.05324786901473999
1719192898.0276477,132000,-0.061821576207876205
1719192924.271518,136000,-0.05238020420074463
1719192952.978654,140000,-0.05544252693653107
1719192981.0473087,144000,-0.04750383272767067
1719193011.5629606,148000,-0.051435261964797974
1719193038.3798695,152000,-0.056385621428489685
1719193061.6341107,156000,-0.05060621351003647
1719193086.339681,160000,-0.051439858973026276
1719193112.9830456,164000,-0.05295784771442413
1719193142.2422838,168000,-0.04589923471212387
1719193170.9673643,172000,-0.061149049550294876
1719193199.8514762,176000,-0.05475371330976486
1719193224.6704466,180000,-0.061752960085868835
1719193249.1571376,184000,-0.06499341875314713
1719193276.8280008,188000,-0.0583091676235199
1719193305.38288,192000,-0.06548257172107697
1719193332.7343407,196000,-0.06511108577251434
1719193361.6192167,200000,-0.05777391046285629
1719193389.6360369,204000,-0.047722794115543365
1719193412.410412,208000,-0.06264089047908783
1719193437.2277014,212000,-0.05168133229017258
1719193461.932052,216000,-0.0687018483877182
1719193491.4666235,220000,-0.04690500348806381
1719193520.2889342,224000,-0.04255320131778717
1719193547.9671903,228000,-0.048961836844682693
1719193575.3993526,232000,-0.04593497887253761
1719193601.0797832,236000,-0.043660346418619156
1719193625.383287,240000,-0.05244820564985275
1719193649.9575088,244000,-0.07115331292152405
